OID_,Value,Count,LC16_BPS_200_cup,LC20_SCla_220,BPS_MODEL,BPS_NAME,GROUPVEG,LABEL
1,1,361368.000000000000000,1615,6,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,UN
2,2,1209031.000000000000000,1615,5,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,E
3,3,7760.000000000000000,1625,1,13660_51_63_64_65_66,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Hardwood-Conifer,A
4,4,1603286.000000000000000,1625,4,13660_51_63_64_65_66,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Hardwood-Conifer,D
5,5,78749.000000000000000,1615,7,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,UE
6,6,564748.000000000000000,1615,3,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,C
7,7,4263090.000000000000000,1639,4,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,D
8,8,155378.000000000000000,1625,120,13660_51_63_64_65_66,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Hardwood-Conifer,Developed
9,9,1509267.000000000000000,1623,4,13651_51,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,D
10,10,173375.000000000000000,1615,120,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,Developed
11,11,12618.000000000000000,1625,2,13660_51_63_64_65_66,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Hardwood-Conifer,B
12,12,2079163.000000000000000,1637,4,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,D
13,13,56685.000000000000000,1625,7,13660_51_63_64_65_66,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Hardwood-Conifer,UE
14,14,1069486.000000000000000,1639,3,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,C
15,15,829060.000000000000000,1637,3,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,C
16,16,39476.000000000000000,1615,2,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,B
17,17,68928.000000000000000,1639,120,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Developed
18,18,619651.000000000000000,11,111,NA,Open Water,Open Water,Water
19,19,17836.000000000000000,1625,3,13660_51_63_64_65_66,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Hardwood-Conifer,C
20,20,32646.000000000000000,1637,120,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,Developed
21,21,45589.000000000000000,1639,7,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,UE
22,22,273533.000000000000000,1639,1,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,A
23,23,25625.000000000000000,1637,7,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,UE
24,24,229943.000000000000000,1639,2,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,B
25,25,7224.000000000000000,1637,180,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,Agriculture
26,26,64831.000000000000000,1637,6,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,UN
27,27,77896.000000000000000,1623,7,13651_51,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,UE
28,28,146855.000000000000000,1623,120,13651_51,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,Developed
29,29,126285.000000000000000,1637,2,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,B
30,30,38929.000000000000000,1621,3,13442_51,Boreal Jack Pine-Black Spruce Forest-Spruce-Fir,Conifer,C
31,31,10226.000000000000000,1621,120,13442_51,Boreal Jack Pine-Black Spruce Forest-Spruce-Fir,Conifer,Developed
32,32,48656.000000000000000,1621,6,13442_51,Boreal Jack Pine-Black Spruce Forest-Spruce-Fir,Conifer,UN
33,33,47714.000000000000000,1639,180,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Agriculture
34,34,110450.000000000000000,1637,1,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,A
35,35,47926.000000000000000,1633,6,14440_41_50_51,Eastern Boreal Floodplain,Hardwood,UN
36,36,167486.000000000000000,1615,180,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,Agriculture
37,37,35155.000000000000000,1623,3,13651_51,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,C
38,38,523537.000000000000000,1620,4,13441_51,Boreal Jack Pine-Black Spruce Forest-Pine Barrens,Conifer,D
39,39,91178.000000000000000,1633,3,14440_41_50_51,Eastern Boreal Floodplain,Hardwood,C
40,40,9081.000000000000000,1623,1,13651_51,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,A
41,41,73938.000000000000000,1625,180,13660_51_63_64_65_66,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Hardwood-Conifer,Agriculture
42,42,124119.000000000000000,1620,120,13441_51,Boreal Jack Pine-Black Spruce Forest-Pine Barrens,Conifer,Developed
43,43,116000.000000000000000,1620,7,13441_51,Boreal Jack Pine-Black Spruce Forest-Pine Barrens,Conifer,UE
44,44,187566.000000000000000,1620,3,13441_51,Boreal Jack Pine-Black Spruce Forest-Pine Barrens,Conifer,C
45,45,7637.000000000000000,1621,7,13442_51,Boreal Jack Pine-Black Spruce Forest-Spruce-Fir,Conifer,UE
46,46,19691.000000000000000,1620,6,13441_51,Boreal Jack Pine-Black Spruce Forest-Pine Barrens,Conifer,UN
47,47,3595.000000000000000,1620,1,13441_51,Boreal Jack Pine-Black Spruce Forest-Pine Barrens,Conifer,A
48,48,8157.000000000000000,1620,180,13441_51,Boreal Jack Pine-Black Spruce Forest-Pine Barrens,Conifer,Agriculture
49,49,27531.000000000000000,1636,3,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,Riparian,C
50,50,3794.000000000000000,1620,2,13441_51,Boreal Jack Pine-Black Spruce Forest-Pine Barrens,Conifer,B
51,51,21490.000000000000000,1640,120,14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,Riparian,Developed
52,52,130.000000000000000,1615,1,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,A
53,53,495101.000000000000000,1624,4,13652_51,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,D
54,54,229.000000000000000,1640,3,14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,Riparian,C
55,55,1527.000000000000000,1640,2,14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,Riparian,B
56,56,8010.000000000000000,1640,6,14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,Riparian,UN
57,57,1120.000000000000000,1633,7,14440_41_50_51,Eastern Boreal Floodplain,Hardwood,UE
58,58,6750.000000000000000,31,132,NA,Barren-Rock/Sand/Clay,Barren-Rock/Sand/Clay,Barren or Sparse
