"join_field","model_code","ref_label","ref_percent","scls_label","state_class_id","age_category","canopy_category","oid","value","cur_scls_count","lc16_bps_200_cup","lc20_s_cla_220","bps_model","bps_name","groupveg","label","bps_count","bps_acres","ref_scls_acres","cur_scls_acres","cur_percent"
"13022_41_50_51_A","13022_41_50_51","A",2,"A","Early1:ALL","Early1","ALL",52,52,130,1615,1,"13022_41_50_51","Laurentian-Acadian Northern Hardwoods Forest-Hemlock","Hardwood","A",7468754,1661009.811453,33220,29,0
"13022_41_50_51_A","13022_41_50_51","A",2,"A","Early1:ALL","Early1","ALL",102,102,201,1614,1,"13022_41_50_51","Laurentian-Acadian Northern Hardwoods Forest-Hemlock","Hardwood","A",7468754,1661009.811453,33220,45,0
"13022_41_50_51_A","13022_41_50_51","A",2,"A","Early1:ALL","Early1","ALL",223,223,10,1561,1,"13022_41_50_51","Laurentian-Acadian Northern Hardwoods Forest-Hemlock","Hardwood","A",7468754,1661009.811453,33220,2,0
"13022_41_50_51_A","13022_41_50_51","A",2,"A","Early1:ALL","Early1","ALL",234,234,1,1562,1,"13022_41_50_51","Laurentian-Acadian Northern Hardwoods Forest-Hemlock","Hardwood","A",7468754,1661009.811453,33220,0,0
"13022_41_50_51_B","13022_41_50_51","B",4,"B","Early2:ALL","Early2","ALL",16,16,39476,1615,2,"13022_41_50_51","Laurentian-Acadian Northern Hardwoods Forest-Hemlock","Hardwood","B",7468754,1661009.811453,66440,8779,1
"13022_41_50_51_B","13022_41_50_51","B",4,"B","Early2:ALL","Early2","ALL",91,91,48622,1614,2,"13022_41_50_51","Laurentian-Acadian Northern Hardwoods Forest-Hemlock","Hardwood","B",7468754,1661009.811453,66440,10813,1
"13022_41_50_51_B","13022_41_50_51","B",4,"B","Early2:ALL","Early2","ALL",145,145,431,1561,2,"13022_41_50_51","Laurentian-Acadian Northern Hardwoods Forest-Hemlock","Hardwood","B",7468754,1661009.811453,66440,96,0
"13022_41_50_51_B","13022_41_50_51","B",4,"B","Early2:ALL","Early2","ALL",175,175,432,1562,2,"13022_41_50_51","Laurentian-Acadian Northern Hardwoods Forest-Hemlock","Hardwood","B",7468754,1661009.811453,66440,96,0
"13022_41_50_51_C","13022_41_50_51","C",14,"C","Mid1:CLS","Mid1","CLS",6,6,564748,1615,3,"13022_41_50_51","Laurentian-Acadian Northern Hardwoods Forest-Hemlock","Hardwood","C",7468754,1661009.811453,232541,125597,8
"13022_41_50_51_C","13022_41_50_51","C",14,"C","Mid1:CLS","Mid1","CLS",66,66,1003715,1614,3,"13022_41_50_51","Laurentian-Acadian Northern Hardwoods Forest-Hemlock","Hardwood","C",7468754,1661009.811453,232541,223221,13
"13022_41_50_51_C","13022_41_50_51","C",14,"C","Mid1:CLS","Mid1","CLS",151,151,6647,1561,3,"13022_41_50_51","Laurentian-Acadian Northern Hardwoods Forest-Hemlock","Hardwood","C",7468754,1661009.811453,232541,1478,0
"13022_41_50_51_C","13022_41_50_51","C",14,"C","Mid1:CLS","Mid1","CLS",158,158,3172,1562,3,"13022_41_50_51","Laurentian-Acadian Northern Hardwoods Forest-Hemlock","Hardwood","C",7468754,1661009.811453,232541,705,0
"13022_41_50_51_D","13022_41_50_51","D",76,"D","Late1:CLS","Late1","CLS",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"13022_41_50_51_E","13022_41_50_51","E",4,"E","Mid2:CLS","Mid2","CLS",2,2,1209031,1615,5,"13022_41_50_51","Laurentian-Acadian Northern Hardwoods Forest-Hemlock","Hardwood","E",7468754,1661009.811453,66440,268882,16
"13022_41_50_51_E","13022_41_50_51","E",4,"E","Mid2:CLS","Mid2","CLS",67,67,2154461,1614,5,"13022_41_50_51","Laurentian-Acadian Northern Hardwoods Forest-Hemlock","Hardwood","E",7468754,1661009.811453,66440,479140,29
"13022_41_50_51_E","13022_41_50_51","E",4,"E","Mid2:CLS","Mid2","CLS",131,131,35492,1561,5,"13022_41_50_51","Laurentian-Acadian Northern Hardwoods Forest-Hemlock","Hardwood","E",7468754,1661009.811453,66440,7893,0
"13022_41_50_51_E","13022_41_50_51","E",4,"E","Mid2:CLS","Mid2","CLS",149,149,33817,1562,5,"13022_41_50_51","Laurentian-Acadian Northern Hardwoods Forest-Hemlock","Hardwood","E",7468754,1661009.811453,66440,7521,0
"13022_41_50_51_Agriculture","13022_41_50_51","Agriculture",0,NA,NA,NA,NA,36,36,167486,1615,180,"13022_41_50_51","Laurentian-Acadian Northern Hardwoods Forest-Hemlock","Hardwood","Agriculture",7468754,1661009.811453,0,37248,2
"13022_41_50_51_Agriculture","13022_41_50_51","Agriculture",0,NA,NA,NA,NA,81,81,447369,1614,180,"13022_41_50_51","Laurentian-Acadian Northern Hardwoods Forest-Hemlock","Hardwood","Agriculture",7468754,1661009.811453,0,99492,6
"13022_41_50_51_Agriculture","13022_41_50_51","Agriculture",0,NA,NA,NA,NA,164,164,21185,1561,180,"13022_41_50_51","Laurentian-Acadian Northern Hardwoods Forest-Hemlock","Hardwood","Agriculture",7468754,1661009.811453,0,4711,0
"13022_41_50_51_Agriculture","13022_41_50_51","Agriculture",0,NA,NA,NA,NA,172,172,19696,1562,180,"13022_41_50_51","Laurentian-Acadian Northern Hardwoods Forest-Hemlock","Hardwood","Agriculture",7468754,1661009.811453,0,4380,0
"13022_41_50_51_Urban","13022_41_50_51","Urban",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"13022_41_50_51_Water","13022_41_50_51","Water",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"13022_41_50_51_UN","13022_41_50_51","UN",0,NA,NA,NA,NA,1,1,361368,1615,6,"13022_41_50_51","Laurentian-Acadian Northern Hardwoods Forest-Hemlock","Hardwood","UN",7468754,1661009.811453,0,80366,5
"13022_41_50_51_UN","13022_41_50_51","UN",0,NA,NA,NA,NA,70,70,597605,1614,6,"13022_41_50_51","Laurentian-Acadian Northern Hardwoods Forest-Hemlock","Hardwood","UN",7468754,1661009.811453,0,132904,8
"13022_41_50_51_UN","13022_41_50_51","UN",0,NA,NA,NA,NA,132,132,15098,1561,6,"13022_41_50_51","Laurentian-Acadian Northern Hardwoods Forest-Hemlock","Hardwood","UN",7468754,1661009.811453,0,3358,0
"13022_41_50_51_UN","13022_41_50_51","UN",0,NA,NA,NA,NA,150,150,17279,1562,6,"13022_41_50_51","Laurentian-Acadian Northern Hardwoods Forest-Hemlock","Hardwood","UN",7468754,1661009.811453,0,3843,0
"13022_41_50_51_UE","13022_41_50_51","UE",0,NA,NA,NA,NA,5,5,78749,1615,7,"13022_41_50_51","Laurentian-Acadian Northern Hardwoods Forest-Hemlock","Hardwood","UE",7468754,1661009.811453,0,17513,1
"13022_41_50_51_UE","13022_41_50_51","UE",0,NA,NA,NA,NA,84,84,132086,1614,7,"13022_41_50_51","Laurentian-Acadian Northern Hardwoods Forest-Hemlock","Hardwood","UE",7468754,1661009.811453,0,29375,2
