BPS_MODEL,BPS_NAME,LABEL,Count
13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,A,348
13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Agriculture,655658
13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,B,88717
13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,C,1574749
13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Developed,495995
13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,E,3426127
13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,UE,223834
13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,UN,990246
13023_51,Laurentian-Acadian Northern Hardwoods Forest-Northern Sugar Maple-Basswood,A,4
13023_51,Laurentian-Acadian Northern Hardwoods Forest-Northern Sugar Maple-Basswood,Agriculture,12442
13023_51,Laurentian-Acadian Northern Hardwoods Forest-Northern Sugar Maple-Basswood,B,3688
13023_51,Laurentian-Acadian Northern Hardwoods Forest-Northern Sugar Maple-Basswood,C,58228
13023_51,Laurentian-Acadian Northern Hardwoods Forest-Northern Sugar Maple-Basswood,Developed,8623
13023_51,Laurentian-Acadian Northern Hardwoods Forest-Northern Sugar Maple-Basswood,E,86921
13023_51,Laurentian-Acadian Northern Hardwoods Forest-Northern Sugar Maple-Basswood,UE,5376
13023_51,Laurentian-Acadian Northern Hardwoods Forest-Northern Sugar Maple-Basswood,UN,20271
13100_44_50,North-Central Interior Dry-Mesic Oak Forest and Woodland,A,22
13100_44_50,North-Central Interior Dry-Mesic Oak Forest and Woodland,Agriculture,16
13100_44_50,North-Central Interior Dry-Mesic Oak Forest and Woodland,C,86
13100_44_50,North-Central Interior Dry-Mesic Oak Forest and Woodland,D,77
13100_44_50,North-Central Interior Dry-Mesic Oak Forest and Woodland,Developed,404
13100_44_50,North-Central Interior Dry-Mesic Oak Forest and Woodland,E,3
13100_44_50,North-Central Interior Dry-Mesic Oak Forest and Woodland,UE,11
13110_50,North-Central Interior Dry Oak Forest and Woodland,Agriculture,5
13110_50,North-Central Interior Dry Oak Forest and Woodland,Developed,8
13110_50,North-Central Interior Dry Oak Forest and Woodland,UE,10
13441_51,Boreal Jack Pine-Black Spruce Forest-Pine Barrens,A,3225
13441_51,Boreal Jack Pine-Black Spruce Forest-Pine Barrens,Agriculture,8122
13441_51,Boreal Jack Pine-Black Spruce Forest-Pine Barrens,B,3793
13441_51,Boreal Jack Pine-Black Spruce Forest-Pine Barrens,C,187231
13441_51,Boreal Jack Pine-Black Spruce Forest-Pine Barrens,D,520932
13441_51,Boreal Jack Pine-Black Spruce Forest-Pine Barrens,Developed,122680
13441_51,Boreal Jack Pine-Black Spruce Forest-Pine Barrens,UE,114927
13441_51,Boreal Jack Pine-Black Spruce Forest-Pine Barrens,UN,19655
13442_51,Boreal Jack Pine-Black Spruce Forest-Spruce-Fir,A,29
13442_51,Boreal Jack Pine-Black Spruce Forest-Spruce-Fir,Agriculture,933
13442_51,Boreal Jack Pine-Black Spruce Forest-Spruce-Fir,B,3876
13442_51,Boreal Jack Pine-Black Spruce Forest-Spruce-Fir,C,38696
13442_51,Boreal Jack Pine-Black Spruce Forest-Spruce-Fir,Developed,10162
13442_51,Boreal Jack Pine-Black Spruce Forest-Spruce-Fir,UE,7634
13442_51,Boreal Jack Pine-Black Spruce Forest-Spruce-Fir,UN,48546
13620_51_63_64_65_66,Laurentian-Acadian Northern Pine(-Oak) Forest,A,4511
13620_51_63_64_65_66,Laurentian-Acadian Northern Pine(-Oak) Forest,Agriculture,40701
13620_51_63_64_65_66,Laurentian-Acadian Northern Pine(-Oak) Forest,B,423313
13620_51_63_64_65_66,Laurentian-Acadian Northern Pine(-Oak) Forest,C,77238
13620_51_63_64_65_66,Laurentian-Acadian Northern Pine(-Oak) Forest,Developed,90840
13620_51_63_64_65_66,Laurentian-Acadian Northern Pine(-Oak) Forest,UE,61382
13622_41_50,Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated,A,3076
13622_41_50,Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated,Agriculture,30582
13622_41_50,Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated,B,222828
13622_41_50,Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated,D,72068
13622_41_50,Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated,Developed,46517
13622_41_50,Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated,E,5081
13622_41_50,Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated,UE,23711
13622_41_50,Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated,UN,21608
13651_40_41_50,Boreal White Spruce-Fir-Hardwood Forest-Inland,A,153
13651_40_41_50,Boreal White Spruce-Fir-Hardwood Forest-Inland,Agriculture,894
13651_40_41_50,Boreal White Spruce-Fir-Hardwood Forest-Inland,C,17
13651_40_41_50,Boreal White Spruce-Fir-Hardwood Forest-Inland,D,6802
13651_40_41_50,Boreal White Spruce-Fir-Hardwood Forest-Inland,Developed,677
13651_40_41_50,Boreal White Spruce-Fir-Hardwood Forest-Inland,UE,812
13651_51,Boreal White Spruce-Fir-Hardwood Forest-Inland,A,9069
13651_51,Boreal White Spruce-Fir-Hardwood Forest-Inland,Agriculture,127598
13651_51,Boreal White Spruce-Fir-Hardwood Forest-Inland,B,79
13651_51,Boreal White Spruce-Fir-Hardwood Forest-Inland,C,35106
13651_51,Boreal White Spruce-Fir-Hardwood Forest-Inland,D,1506943
13651_51,Boreal White Spruce-Fir-Hardwood Forest-Inland,Developed,146448
13651_51,Boreal White Spruce-Fir-Hardwood Forest-Inland,UE,77853
13652_51,Boreal White Spruce-Fir-Hardwood Forest-Coastal,A,4146
13652_51,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Agriculture,60105
13652_51,Boreal White Spruce-Fir-Hardwood Forest-Coastal,B,46
13652_51,Boreal White Spruce-Fir-Hardwood Forest-Coastal,C,12346
13652_51,Boreal White Spruce-Fir-Hardwood Forest-Coastal,D,495032
13652_51,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Developed,61788
13652_51,Boreal White Spruce-Fir-Hardwood Forest-Coastal,UE,25652
13660_50,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,A,32
13660_50,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Agriculture,8128
13660_50,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,B,86
13660_50,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,C,41
13660_50,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,D,40806
13660_50,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Developed,5281
13660_50,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,UE,3769
13660_51_63_64_65_66,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,A,7733
13660_51_63_64_65_66,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Agriculture,73916
13660_51_63_64_65_66,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,B,12607
13660_51_63_64_65_66,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,C,17789
13660_51_63_64_65_66,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,D,1601281
13660_51_63_64_65_66,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Developed,154100
13660_51_63_64_65_66,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,UE,56627
13940_50_51,North-Central Interior Oak Savanna,Developed,31
14071_41_50_51,Laurentian Pine-Oak Barrens,A,108
14071_41_50_51,Laurentian Pine-Oak Barrens,Agriculture,2145
14071_41_50_51,Laurentian Pine-Oak Barrens,B,8
14071_41_50_51,Laurentian Pine-Oak Barrens,C,9654
14071_41_50_51,Laurentian Pine-Oak Barrens,D,78443
14071_41_50_51,Laurentian Pine-Oak Barrens,Developed,20428
14071_41_50_51,Laurentian Pine-Oak Barrens,E,54803
14071_41_50_51,Laurentian Pine-Oak Barrens,UE,16245
14071_41_50_51,Laurentian Pine-Oak Barrens,UN,1811
14072_41_50_51,Laurentian Pine-Oak Barrens-Jack Pine,A,558
14072_41_50_51,Laurentian Pine-Oak Barrens-Jack Pine,Agriculture,7951
14072_41_50_51,Laurentian Pine-Oak Barrens-Jack Pine,B,316
14072_41_50_51,Laurentian Pine-Oak Barrens-Jack Pine,C,155968
14072_41_50_51,Laurentian Pine-Oak Barrens-Jack Pine,D,10
14072_41_50_51,Laurentian Pine-Oak Barrens-Jack Pine,Developed,25394
14072_41_50_51,Laurentian Pine-Oak Barrens-Jack Pine,UE,18152
14120_39_40_41_42_43_50_51,North-Central Interior Sand and Gravel Tallgrass Prairie,Developed,85
14120_39_40_41_42_43_50_51,North-Central Interior Sand and Gravel Tallgrass Prairie,UE,3
14120_39_40_41_42_43_50_51,North-Central Interior Sand and Gravel Tallgrass Prairie,UN,174
14210_31_38_42_43_44_50_51,Central Tallgrass Prairie,A,1
14210_31_38_42_43_44_50_51,Central Tallgrass Prairie,Agriculture,2
14210_31_38_42_43_44_50_51,Central Tallgrass Prairie,Developed,38
14210_31_38_42_43_44_50_51,Central Tallgrass Prairie,UE,1
14210_31_38_42_43_44_50_51,Central Tallgrass Prairie,UN,173
14440_41_50_51,Eastern Boreal Floodplain,A,128
14440_41_50_51,Eastern Boreal Floodplain,Agriculture,2765
14440_41_50_51,Eastern Boreal Floodplain,B,678
14440_41_50_51,Eastern Boreal Floodplain,C,90959
14440_41_50_51,Eastern Boreal Floodplain,D,406
14440_41_50_51,Eastern Boreal Floodplain,Developed,1931
14440_41_50_51,Eastern Boreal Floodplain,UE,1099
14440_41_50_51,Eastern Boreal Floodplain,UN,47864
14660_50_51,Great Lakes Wooded Dune and Swale,A,56
14660_50_51,Great Lakes Wooded Dune and Swale,Agriculture,29
14660_50_51,Great Lakes Wooded Dune and Swale,B,11
14660_50_51,Great Lakes Wooded Dune and Swale,C,8338
14660_50_51,Great Lakes Wooded Dune and Swale,D,72
14660_50_51,Great Lakes Wooded Dune and Swale,Developed,464
14660_50_51,Great Lakes Wooded Dune and Swale,UE,38
14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,A,1
14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,Agriculture,1078
14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,B,1646
14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,C,55703
14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,Developed,2799
14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,UE,2099
14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,UN,52576
14770_40_41_50_51,Boreal Acidic Peatland Systems,A,110592
14770_40_41_50_51,Boreal Acidic Peatland Systems,Agriculture,9095
14770_40_41_50_51,Boreal Acidic Peatland Systems,B,126757
14770_40_41_50_51,Boreal Acidic Peatland Systems,C,839705
14770_40_41_50_51,Boreal Acidic Peatland Systems,D,2121861
14770_40_41_50_51,Boreal Acidic Peatland Systems,Developed,34227
14770_40_41_50_51,Boreal Acidic Peatland Systems,E,2597
14770_40_41_50_51,Boreal Acidic Peatland Systems,UE,27109
14770_40_41_50_51,Boreal Acidic Peatland Systems,UN,65090
14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,A,274866
14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Agriculture,50818
14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,B,231620
14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,C,1094811
14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,D,4376358
14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Developed,70626
14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,UE,48599
14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,A,4
14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,Agriculture,622
14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,B,1925
14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,C,322
14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,Developed,22954
14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,UE,21042
14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,UN,53382
14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,A,12
14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Agriculture,205
14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,B,122
14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,C,7
14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,D,11146
14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Developed,385
14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,UE,284
14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,UN,4810
