"join_field","model_code","ref_label","ref_percent","scls_label","state_class_id","age_category","canopy_category","bps_model","bps_name","label","cur_scls_count","bps_count","bps_acres","ref_scls_acres","cur_scls_acres","cur_percent"
"13022_41_50_51_A","13022_41_50_51","A",2,"A","Early1:ALL","Early1","ALL","13022_41_50_51","Laurentian-Acadian Northern Hardwoods Forest-Hemlock","A",348,7455674,1658101,33162,77,0
"13022_41_50_51_B","13022_41_50_51","B",4,"B","Early2:ALL","Early2","ALL","13022_41_50_51","Laurentian-Acadian Northern Hardwoods Forest-Hemlock","B",88717,7455674,1658101,66324,19730,1
"13022_41_50_51_C","13022_41_50_51","C",14,"C","Mid1:CLS","Mid1","CLS","13022_41_50_51","Laurentian-Acadian Northern Hardwoods Forest-Hemlock","C",1574749,7455674,1658101,232134,350216,21
"13022_41_50_51_D","13022_41_50_51","D",76,"D","Late1:CLS","Late1","CLS",NA,NA,NA,NA,0,0,0,NA,NA
"13022_41_50_51_E","13022_41_50_51","E",4,"E","Mid2:CLS","Mid2","CLS","13022_41_50_51","Laurentian-Acadian Northern Hardwoods Forest-Hemlock","E",3426127,7455674,1658101,66324,761952,46
"13022_41_50_51_Agriculture","13022_41_50_51","Agriculture",0,NA,NA,NA,NA,"13022_41_50_51","Laurentian-Acadian Northern Hardwoods Forest-Hemlock","Agriculture",655658,7455674,1658101,0,145815,9
"13022_41_50_51_Urban","13022_41_50_51","Urban",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"13022_41_50_51_Water","13022_41_50_51","Water",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"13022_41_50_51_UN","13022_41_50_51","UN",0,NA,NA,NA,NA,"13022_41_50_51","Laurentian-Acadian Northern Hardwoods Forest-Hemlock","UN",990246,7455674,1658101,0,220225,13
"13022_41_50_51_UE","13022_41_50_51","UE",0,NA,NA,NA,NA,"13022_41_50_51","Laurentian-Acadian Northern Hardwoods Forest-Hemlock","UE",223834,7455674,1658101,0,49779,3
"13023_51_A","13023_51","A",4,"A","Early1:ALL","Early1","ALL","13023_51","Laurentian-Acadian Northern Hardwoods Forest-Northern Sugar Maple-Basswood","A",4,195553,43490,1740,1,0
"13023_51_B","13023_51","B",7,"B","Early2:ALL","Early2","ALL","13023_51","Laurentian-Acadian Northern Hardwoods Forest-Northern Sugar Maple-Basswood","B",3688,195553,43490,3044,820,2
