join_field,ref_percent,scls_label,state_class_id,age_category,canopy_category,cur_percent
13022_41_50_51_A,2,A,Early1:ALL,Early1,ALL,0
13022_41_50_51_B,4,B,Early2:ALL,Early2,ALL,1
13022_41_50_51_C,14,C,Mid1:CLS,Mid1,CLS,21
13022_41_50_51_D,76,D,Late1:CLS,Late1,CLS,NA
13022_41_50_51_E,4,E,Mid2:CLS,Mid2,CLS,46
13022_41_50_51_Agriculture,0,NA,NA,NA,NA,9
13022_41_50_51_Urban,0,NA,NA,NA,NA,NA
13022_41_50_51_Water,0,NA,NA,NA,NA,NA
13022_41_50_51_UN,0,NA,NA,NA,NA,13
13022_41_50_51_UE,0,NA,NA,NA,NA,3
13023_51_A,4,A,Early1:ALL,Early1,ALL,0
13023_51_B,7,B,Early2:ALL,Early2,ALL,2
13023_51_C,16,C,Mid1:CLS,Mid1,CLS,30
13023_51_D,69,D,Late1:CLS,Late1,CLS,NA
13023_51_E,4,E,Mid2:CLS,Mid2,CLS,44
13023_51_Agriculture,0,NA,NA,NA,NA,6
13023_51_Urban,0,NA,NA,NA,NA,NA
13023_51_Water,0,NA,NA,NA,NA,NA
13023_51_UN,0,NA,NA,NA,NA,10
13023_51_UE,0,NA,NA,NA,NA,3
13100_44_50_A,3,A,Early1:ALL,Early1,ALL,4
13100_44_50_B,12,B,Mid1:OPN,Mid1,OPN,NA
13100_44_50_C,20,C,Mid2:OPN,Mid2,OPN,14
13100_44_50_D,57,D,Mid3:CLS,Mid3,CLS,12
13100_44_50_E,8,E,Late2:CLS,Late2,CLS,0
13100_44_50_Agriculture,0,NA,NA,NA,NA,3
13100_44_50_Urban,0,NA,NA,NA,NA,NA
13100_44_50_Water,0,NA,NA,NA,NA,NA
13100_44_50_UN,0,NA,NA,NA,NA,NA
13100_44_50_UE,0,NA,NA,NA,NA,2
13110_50_A,4,A,Early1:ALL,Early1,ALL,NA
13110_50_B,26,B,Mid1:OPN,Mid1,OPN,NA
13110_50_C,36,C,Mid2:OPN,Mid2,OPN,NA
13110_50_D,29,D,Late1:CLS,Late1,CLS,NA
13110_50_E,5,E,Late2:CLS,Late2,CLS,NA
13110_50_Agriculture,0,NA,NA,NA,NA,22
13110_50_Urban,0,NA,NA,NA,NA,NA
13110_50_Water,0,NA,NA,NA,NA,NA
13110_50_UN,0,NA,NA,NA,NA,NA
13110_50_UE,0,NA,NA,NA,NA,43
13441_51_A,35,A,Early1:ALL,Early1,ALL,0
13441_51_B,15,B,Mid1:OPN,Mid1,OPN,0
13441_51_C,31,C,Mid2:OPN,Mid2,OPN,19
13441_51_D,19,D,Late1:CLS,Late1,CLS,53
13441_51_E,NA,NA,NA,NA,NA,NA
13441_51_Agriculture,0,NA,NA,NA,NA,1
13441_51_Urban,0,NA,NA,NA,NA,NA
13441_51_Water,0,NA,NA,NA,NA,NA
13441_51_UN,0,NA,NA,NA,NA,2
13441_51_UE,0,NA,NA,NA,NA,12
13442_51_A,31,A,Early1:ALL,Early1,ALL,0
13442_51_B,34,B,Mid1:CLS,Mid1,CLS,4
13442_51_C,25,C,Mid2:CLS,Mid2,CLS,35
13442_51_D,10,D,Late1:CLS,Late1,CLS,NA
13442_51_E,NA,NA,NA,NA,NA,NA
13442_51_Agriculture,0,NA,NA,NA,NA,1
13442_51_Urban,0,NA,NA,NA,NA,NA
13442_51_Water,0,NA,NA,NA,NA,NA
13442_51_UN,0,NA,NA,NA,NA,44
13442_51_UE,0,NA,NA,NA,NA,7
13620_51_63_64_65_66_A,13,A,Early1:ALL,Early1,ALL,1
13620_51_63_64_65_66_B,13,B,Mid1:CLS,Mid1,CLS,61
13620_51_63_64_65_66_C,48,C,Mid2:OPN,Mid2,OPN,11
13620_51_63_64_65_66_D,26,D,Late1:CLS,Late1,CLS,NA
13620_51_63_64_65_66_E,NA,NA,NA,NA,NA,NA
13620_51_63_64_65_66_Agriculture,0,NA,NA,NA,NA,6
13620_51_63_64_65_66_Urban,0,NA,NA,NA,NA,NA
13620_51_63_64_65_66_Water,0,NA,NA,NA,NA,NA
13620_51_63_64_65_66_UN,0,NA,NA,NA,NA,NA
13620_51_63_64_65_66_UE,0,NA,NA,NA,NA,9
